time,open,high,low,close,BuyLine,Buy,Sell,Buy Label,Sell Label
2025-03-13T05:50:00-03:00,19479,19490,19470.5,19474,19465.361120697427,NaN,NaN,NaN,NaN
2025-03-13T05:55:00-03:00,19474.5,19494.5,19467.75,19492.5,19465.361120697427,NaN,NaN,NaN,NaN
2025-03-13T06:00:00-03:00,19491.75,19500.75,19471.25,19472,19467.271530174356,NaN,NaN,NaN,NaN
2025-03-13T06:05:00-03:00,19472,19479,19459.75,19471.5,19467.271530174356,NaN,NaN,NaN,NaN
2025-03-13T06:10:00-03:00,19471,19514.5,19470,19513.5,19468.624132543588,NaN,NaN,NaN,NaN
2025-03-13T06:15:00-03:00,19513.75,19543.75,19509.25,19540.5,19502.612066271795,NaN,NaN,NaN,NaN
2025-03-13T06:20:00-03:00,19540.25,19558.25,19538.5,19552,19529.5185331359,NaN,NaN,NaN,NaN
2025-03-13T06:25:00-03:00,19552,19552,19536.25,19543,19529.5185331359,NaN,NaN,NaN,NaN
2025-03-13T06:30:00-03:00,19543.75,19559.75,19541.25,19546.75,19536.554633283973,NaN,NaN,NaN,NaN
2025-03-13T06:35:00-03:00,19547.5,19575.25,19543,19571.25,19540.864816641988,NaN,NaN,NaN,NaN
2025-03-13T06:40:00-03:00,19571.25,19582.25,19565.75,19580.5,19559.094908320993,NaN,NaN,NaN,NaN
2025-03-13T06:45:00-03:00,19581,19596,19577.75,19584.25,19573.034954160496,NaN,NaN,NaN,NaN
2025-03-13T06:50:00-03:00,19584.5,19593.75,19580.5,19587.25,19575.567477080247,NaN,NaN,NaN,NaN
2025-03-13T06:55:00-03:00,19587.75,19609.25,19583.5,19605.5,19581.583738540125,NaN,NaN,NaN,NaN
2025-03-13T07:00:00-03:00,19606,19624,19598,19599.5,19594.504369270064,NaN,NaN,NaN,NaN
2025-03-13T07:05:00-03:00,19600,19603.5,19592.5,19594,19610.09781536497,NaN,19610.09781536497,NaN,NaN
2025-03-13T07:10:00-03:00,19593.75,19613.25,19593.25,19613.25,19590.201092317515,19590.201092317515,NaN,NaN,NaN
2025-03-13T07:15:00-03:00,19612.75,19615.75,19600.25,19603.25,19596.050546158756,NaN,NaN,NaN,NaN
2025-03-13T07:20:00-03:00,19604.25,19611.75,19599.75,19607.75,19596.050546158756,NaN,NaN,NaN,NaN
2025-03-13T07:25:00-03:00,19608.25,19632.75,19607.5,19617.25,19606.20013653969,NaN,NaN,NaN,NaN
2025-03-13T07:30:00-03:00,19617.5,19620,19605,19605.75,19624.712431730157,NaN,19624.712431730157,NaN,NaN
2025-03-13T07:35:00-03:00,19605.25,19612.75,19599.25,19610,19616.831215865077,NaN,NaN,NaN,NaN
2025-03-13T07:40:00-03:00,19610.5,19618.75,19604.75,19613.5,19616.831215865077,NaN,NaN,NaN,NaN
2025-03-13T07:45:00-03:00,19613.25,19621,19609.75,19617,19606.27969603373,19606.27969603373,NaN,NaN,NaN
2025-03-13T07:50:00-03:00,19617,19617.75,19584.25,19587.5,19617.272651983134,NaN,19617.272651983134,NaN,19608.421981121173
2025-03-13T07:55:00-03:00,19587,19592,19560,19575.25,19595.336325991568,NaN,NaN,NaN,NaN
2025-03-13T08:00:00-03:00,19575.5,19590.5,19562,19562.5,19595.336325991568,NaN,NaN,NaN,NaN
2025-03-13T08:05:00-03:00,19562.5,19575.5,19549.75,19552,19581.45908149789,NaN,NaN,NaN,NaN
2025-03-13T08:10:00-03:00,19552,19568,19551.75,19564.75,19574.979540748947,NaN,NaN,NaN,NaN
2025-03-13T08:15:00-03:00,19564,19594.5,19551.25,19555.5,19574.979540748947,NaN,NaN,NaN,NaN
2025-03-13T08:20:00-03:00,19555.5,19557,19540.5,19544.25,19565.869885187236,NaN,NaN,NaN,NaN
